,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 30, 2021 - 12:00 BRTWorld's Edge Team DeftFox Pirate Dream Esports BreakingRulleZ","Round 1 Round 1 October 30, 2021 - 12:00 BRTWorld's Edge Team DeftFox Pirate Dream Esports BreakingRulleZ","Round 2 Round 2 October 30, 2021 - 12:35 BRTWorld's Edge Fênix Team Team DeftFox LeaveNoWitness","Round 2 Round 2 October 30, 2021 - 12:35 BRTWorld's Edge Fênix Team Team DeftFox LeaveNoWitness","Round 3 Round 3 October 30, 2021 - 13:10 BRTWorld's Edge Pirate Dream Esports Team DeftFox Insomnia","Round 3 Round 3 October 30, 2021 - 13:10 BRTWorld's Edge Pirate Dream Esports Team DeftFox Insomnia","Round 4 Round 4 October 30, 2021 - 13:45 BRTWorld's Edge LeaveNoWitness Team DeftFox BreakingRulleZ","Round 4 Round 4 October 30, 2021 - 13:45 BRTWorld's Edge LeaveNoWitness Team DeftFox BreakingRulleZ","Round 5 Round 5 October 30, 2021 - 14:20 BRTWorld's Edge Fake Love E-Sports Insomnia Fênix Team","Round 5 Round 5 October 30, 2021 - 14:20 BRTWorld's Edge Fake Love E-Sports Insomnia Fênix Team","Round 6 Round 6 October 30, 2021 - 14:55 BRTWorld's Edge Fake Love E-Sports As Misera Insomnia","Round 6 Round 6 October 30, 2021 - 14:55 BRTWorld's Edge Fake Love E-Sports As Misera Insomnia"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,DFX,82,112,88,29,55,29,66,29,66,63,55,73,77
1,2.0,LNW,72,45,77,37,44,141,0,112,1717,45,77,63,44
2,3.0,FL,66,111,44,170,22,63,44,102,11,112,1111,112,1414
3,4.0,FNX,60,73,66,112,99,92,44,131,55,37,22,54,55
4,5.0,PD,45,29,99,92,22,112,66,170,0,141,22,121,11
5,6.0,ELV,42,180,0,73,99,131,0,92,77,54,99,151,66
6,7.0,OMEGA,38,54,0,54,55,45,77,190,0,102,11,45,55
7,8.0,INS,38,141,0,180,0,37,99,121,0,29,33,37,11
8,9.0,As Misera,32,82,33,82,22,102,33,73,22,160,11,29,33
9,10.0,TK,27,170,22,45,88,151,0,141,55,131,0,131,33
10,11.0,USB,26,92,11,151,33,121,33,45,55,82,33,160,0
11,12.0,BRZ,26,37,44,102,0,160,0,37,33,92,0,170,11
12,13.0,BRT,23,63,11,151,33,73,33,160,33,111,0,92,33
13,14.0,CIA,18,102,11,190,11,54,55,82,0,121,22,190,0
14,15.0,HRS,18,160,0,131,0,82,11,54,22,73,33,82,0
15,16.0,PRDX,14,121,33,160,0,170,0,63,0,151,66,180,0
16,17.0,No Org,9,151,11,141,0,111,11,111,0,170,11,102,0
17,18.0,ODK,8,190,0,111,33,180,0,151,0,190,11,111,11
18,19.0,Duty calls,7,131,33,121,22,190,0,180,0,200,0,200,0
19,20.0,Natural Killer,2,200,0,200,0,200,0,200,0,180,0,141,11
