,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 16:00 BRTWorld's Edge Fênix Team Skull Cracker clubinvictusaim","Round 1 Round 1 December 4, 2021 - 16:00 BRTWorld's Edge Fênix Team Skull Cracker clubinvictusaim","Round 2 Round 2 December 4, 2021 - 16:35 BRTWorld's Edge Fênix Team Dynamics LeaveNoWitness","Round 2 Round 2 December 4, 2021 - 16:35 BRTWorld's Edge Fênix Team Dynamics LeaveNoWitness","Round 3 Round 3 December 4, 2021 - 17:10 BRTWorld's Edge Paradox Esports SLU Digital Gaming","Round 3 Round 3 December 4, 2021 - 17:10 BRTWorld's Edge Paradox Esports SLU Digital Gaming","Round 4 Round 4 December 4, 2021 - 17:45 BRTWorld's Edge Most Valuable Dynamics SLU","Round 4 Round 4 December 4, 2021 - 17:45 BRTWorld's Edge Most Valuable Dynamics SLU","Round 5 Round 5 December 4, 2021 - 18:20 BRTWorld's Edge Dynamics As Misera Sobek e-Sports","Round 5 Round 5 December 4, 2021 - 18:20 BRTWorld's Edge Dynamics As Misera Sobek e-Sports","Round 6 Round 6 December 4, 2021 - 18:55 BRTWorld's Edge Fênix Team Wild Esports Most Valuable","Round 6 Round 6 December 4, 2021 - 18:55 BRTWorld's Edge Fênix Team Wild Esports Most Valuable"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,FNX,83,1,15,1,13,12,0,19,0,5,1,1,13
1,2.0,DYN,65,4,2,2,2,9,1,2,8,1,13,8,0
2,3.0,MVP,59,10,6,10,3,4,5,1,5,6,6,3,3
3,4.0,PRDX,49,7,2,16,1,1,13,8,4,4,3,5,0
4,5.0,SLU,40,18,0,12,5,2,5,3,7,7,3,16,0
5,6.0,PD,36,5,0,4,7,7,4,7,8,19,0,9,0
6,7.0,BRT,35,14,4,7,2,10,4,4,11,16,0,17,3
7,8.0,TC,34,6,0,14,7,18,3,11,0,15,6,6,9
8,9.0,SBK,30,16,0,5,3,6,10,13,0,3,0,14,1
9,10.0,WILD,29,13,0,9,3,15,2,18,1,9,5,2,3
10,11.0,CIA,29,3,6,18,0,8,4,5,3,20,0,7,0
11,12.0,SKC,28,2,10,19,0,16,0,16,3,13,5,18,0
12,13.0,DGL,28,11,4,13,0,3,1,10,0,11,1,11,9
13,14.0,As Misera,28,17,0,8,1,14,0,12,0,2,6,4,3
14,15.0,LNW,18,12,2,3,2,17,0,6,0,17,3,19,0
15,16.0,HRS,15,9,0,20,0,5,2,9,0,8,0,13,2
16,17.0,Slav Animals,14,8,2,6,3,11,1,20,0,14,1,20,0
17,18.0,OMEGA,7,20,0,11,0,20,0,15,0,18,1,15,3
18,19.0,Duty calls,6,19,0,15,0,13,0,14,0,12,0,10,0
19,20.0,Love Egirls,4,15,0,17,0,19,0,17,0,10,0,15,0
