,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 12:00 BRTWorld's Edge Team Cruelty Nocturns Gaming Team Singularity","Round 1 Round 1 December 5, 2021 - 12:00 BRTWorld's Edge Team Cruelty Nocturns Gaming Team Singularity","Round 2 Round 2 December 5, 2021 - 12:35 BRTWorld's Edge Sobek e-Sports FusioN E-Sport Team Cruelty","Round 2 Round 2 December 5, 2021 - 12:35 BRTWorld's Edge Sobek e-Sports FusioN E-Sport Team Cruelty","Round 3 Round 3 December 5, 2021 - 13:10 BRTWorld's Edge Most Valuable Blackhat Esports FusioN E-Sport","Round 3 Round 3 December 5, 2021 - 13:10 BRTWorld's Edge Most Valuable Blackhat Esports FusioN E-Sport","Round 4 Round 4 December 5, 2021 - 13:45 BRTWorld's Edge Most Valuable Team Singularity Dynamics","Round 4 Round 4 December 5, 2021 - 13:45 BRTWorld's Edge Most Valuable Team Singularity Dynamics","Round 5 Round 5 December 5, 2021 - 14:20 BRTWorld's Edge Dynamics Most Valuable Team Cruelty","Round 5 Round 5 December 5, 2021 - 14:20 BRTWorld's Edge Dynamics Most Valuable Team Cruelty","Round 6 Round 6 December 5, 2021 - 14:55 BRTWorld's Edge Team Singularity Dream Conspiracy Sobek e-Sports","Round 6 Round 6 December 5, 2021 - 14:55 BRTWorld's Edge Team Singularity Dream Conspiracy Sobek e-Sports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SNG,80,3,5,4,6,4,7,2,6,12,8,1,9
1,2.0,MVP,72,9,6,12,1,1,12,1,11,2,6,18,0
2,3.0,TC,61,1,15,3,9,12,1,9,3,3,4,17,0
3,4.0,SBK,45,11,1,1,11,14,1,17,4,17,0,3,7
4,5.0,FSN,45,7,0,2,5,3,3,8,3,7,0,4,5
5,6.0,DYN,43,17,1,14,2,5,3,3,0,1,11,14,1
6,7.0,DGL,40,6,5,9,3,8,6,11,1,4,5,9,5
7,8.0,DC,38,5,4,8,4,7,1,18,0,5,2,2,5
8,9.0,BHT,29,10,2,6,0,2,4,16,0,9,0,5,3
9,10.0,NG,28,2,2,17,0,13,1,13,5,10,3,10,2
10,11.0,WILD,25,4,1,16,0,10,4,4,1,6,0,7,1
11,12.0,SKC,23,12,2,13,2,9,2,5,5,14,3,16,0
12,13.0,KZN,20,15,0,5,0,18,0,7,0,8,3,8,5
13,14.0,AIM,19,13,0,10,3,16,1,14,1,11,3,6,3
14,15.0,PTD,19,8,3,15,0,6,1,6,2,15,0,11,2
15,16.0,ElemenT,16,18,0,7,2,15,2,10,2,16,0,13,3
16,17.0,OF,10,19,0,18,0,11,2,12,4,13,0,12,0
17,18.0,Love Egirls,4,14,0,11,0,17,0,15,0,18,0,15,0
18,19.0,Slav Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,SLU,0,0,0,0,0,0,0,0,0,0,0,0,0
