Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round,Split
1.0,SST,92,1,15,7,2,1,13,5,5,1,10,8,2,Lobby 1,Semifinals,Split_1
2.0,ALFA WARRIORS,65,4,1,1,14,12,1,1,14,13,0,15,3,Lobby 1,Semifinals,Split_1
3.0,BTH,64,8,2,6,10,10,1,2,7,6,5,2,11,Lobby 1,Semifinals,Split_1
4.0,Sobek,62,7,6,3,4,4,2,9,2,14,6,1,12,Lobby 1,Semifinals,Split_1
5.0,NE1,42,2,1,12,0,2,9,16,0,5,1,3,1,Lobby 1,Semifinals,Split_1
6.0,Spartan Warriors,41,5,2,10,3,3,2,4,2,9,5,4,2,Lobby 1,Semifinals,Split_1
7.0,AsheTeam,37,12,1,13,0,9,7,17,3,2,8,7,2,Lobby 1,Semifinals,Split_1
8.0,UltiMaTuM,32,9,4,9,6,8,0,14,0,3,5,14,2,Lobby 1,Semifinals,Split_1
9.0,PPEX,28,10,0,5,0,16,0,3,0,4,3,5,3,Lobby 1,Semifinals,Split_1
10.0,ROCKETZ TEAM,27,3,9,11,1,18,0,15,3,10,0,6,0,Lobby 1,Semifinals,Split_1
11.0,3g3Team,23,15,3,4,1,7,0,18,0,11,2,11,6,Lobby 1,Semifinals,Split_1
12.0,Mystical,23,6,1,8,1,11,2,8,5,12,2,10,1,Lobby 1,Semifinals,Split_1
13.0,PoliShopu,22,13,3,15,2,13,6,10,0,7,3,16,0,Lobby 1,Semifinals,Split_1
14.0,TBG,19,17,0,2,3,17,0,6,1,8,1,17,0,Lobby 1,Semifinals,Split_1
15.0,Seven,17,11,0,18,0,5,4,7,5,16,0,18,0,Lobby 1,Semifinals,Split_1
16.0,QUAS,9,19,0,17,0,14,0,13,1,15,0,9,3,Lobby 1,Semifinals,Split_1
17.0,KPS,6,14,0,16,0,6,0,12,0,17,0,12,0,Lobby 1,Semifinals,Split_1
18.0,TheArrechos,5,18,0,14,0,15,0,11,1,18,0,13,0,Lobby 1,Semifinals,Split_1
19.0,DEATH KILL BR,0,16,0,20,0,20,0,20,0,20,0,20,0,Lobby 1,Semifinals,Split_1
1.0,Chimera,114,2,13,3,11,2,16,1,21,8,5,3,2,Lobby 2,Semifinals,Split_1
2.0,Blagueur,107,1,10,1,13,9,5,8,3,2,10,1,17,Lobby 2,Semifinals,Split_1
3.0,BrazilianTopTeam,74,19,2,7,7,1,16,11,3,4,4,2,12,Lobby 2,Semifinals,Split_1
4.0,TCS,52,9,6,8,5,4,3,3,9,12,5,13,6,Lobby 2,Semifinals,Split_1
5.0,AK47,36,18,0,10,5,10,2,15,0,1,10,12,1,Lobby 2,Semifinals,Split_1
6.0,FourG Team,31,5,1,14,0,3,2,2,0,17,0,4,2,Lobby 2,Semifinals,Split_1
7.0,sFx,30,3,5,13,3,18,0,4,5,19,0,11,3,Lobby 2,Semifinals,Split_1
8.0,KDT - Amber,28,13,2,19,0,6,1,6,6,16,3,7,6,Lobby 2,Semifinals,Split_1
9.0,Taichi Horror,27,4,5,5,0,7,3,13,0,7,0,6,0,Lobby 2,Semifinals,Split_1
10.0,Z Gravity,27,10,0,2,3,8,0,5,0,6,0,5,0,Lobby 2,Semifinals,Split_1
11.0,RAV,24,8,0,9,1,12,0,9,0,3,7,8,0,Lobby 2,Semifinals,Split_1
12.0,PouKaBala,15,6,2,11,0,19,0,19,0,5,2,10,1,Lobby 2,Semifinals,Split_1
13.0,Swift Movements,13,15,0,18,0,17,1,10,3,9,2,9,0,Lobby 2,Semifinals,Split_1
14.0,No Regrets,12,16,0,4,0,11,0,7,2,15,0,17,0,Lobby 2,Semifinals,Split_1
15.0,Vino con Pritty,11,7,0,15,1,15,1,16,1,10,1,18,0,Lobby 2,Semifinals,Split_1
16.0,Legión de monos,8,11,2,12,0,14,0,12,0,14,0,14,0,Lobby 2,Semifinals,Split_1
17.0,MASE,6,14,0,16,0,5,0,18,0,18,0,16,1,Lobby 2,Semifinals,Split_1
18.0,LostSoulsDreamer,6,12,0,6,0,16,0,14,0,11,0,20,0,Lobby 2,Semifinals,Split_1
19.0,Tharsis,4,17,0,17,0,13,0,17,0,13,1,15,0,Lobby 2,Semifinals,Split_1
1.0,Chimera,78,2,9,1,10,6,2,4,8,7,16,12,0,Lobby 1,Finals,Split_1
2.0,Blagueur,76,11,3,3,15,4,11,12,0,4,5,1,11,Lobby 1,Finals,Split_1
3.0,AsheTeam,58,14,0,2,6,2,2,6,0,1,15,15,0,Lobby 1,Finals,Split_1
4.0,ALFA WARRIORS,57,9,7,12,1,1,10,2,7,13,0,5,3,Lobby 1,Finals,Split_1
5.0,KDT - Amber,54,1,11,10,6,10,2,13,0,2,8,11,0,Lobby 1,Finals,Split_1
6.0,SST,45,16,0,5,7,7,7,10,5,6,0,4,9,Lobby 1,Finals,Split_1
7.0,UltiMaTuM,45,10,3,13,0,11,1,3,10,8,0,2,9,Lobby 1,Finals,Split_1
8.0,TCS,38,13,1,15,1,3,5,7,8,14,1,6,6,Lobby 1,Finals,Split_1
9.0,Sobek,33,18,0,16,2,15,3,1,10,11,3,14,0,Lobby 1,Finals,Split_1
10.0,Z Gravity,32,3,4,11,0,9,2,8,1,3,1,7,2,Lobby 1,Finals,Split_1
11.0,BrazilianTopTeam,28,19,0,19,0,5,6,16,1,5,5,9,6,Lobby 1,Finals,Split_1
12.0,FourG Team,25,4,1,9,0,16,0,5,3,12,2,3,0,Lobby 1,Finals,Split_1
13.0,Spartan Warriors,19,8,0,4,7,8,0,15,0,10,0,17,0,Lobby 1,Finals,Split_1
14.0,ROCKETZ TEAM,18,5,7,6,0,12,1,14,0,15,0,18,0,Lobby 1,Finals,Split_1
15.0,BTH,14,6,0,17,0,17,0,9,2,9,0,10,3,Lobby 1,Finals,Split_1
16.0,PPEX,11,17,0,7,2,13,1,11,0,16,0,8,1,Lobby 1,Finals,Split_1
17.0,sFx,8,7,2,8,0,14,0,17,0,17,0,16,0,Lobby 1,Finals,Split_1
18.0,NE1,3,12,0,14,0,18,0,18,0,18,0,13,0,Lobby 1,Finals,Split_1
19.0,AK47,1,15,0,18,0,0,0,0,0,0,0,0,0,Lobby 1,Finals,Split_1
20.0,Taichi Horror,0,20,0,20,0,0,0,0,0,0,0,0,0,Lobby 1,Finals,Split_1
1.0,Ragnarok Team,67,2,6,5,2,1,7,8,4,1,6,6,0,Lobby 1,Semifinals,Split_1
2.0,KDT - Amber,61,9,8,7,6,15,3,3,7,2,7,9,6,Lobby 1,Semifinals,Split_1
3.0,CerditosMacabeos,56,4,8,1,12,7,1,16,2,8,6,10,3,Lobby 1,Semifinals,Split_1
4.0,Chimera,54,16,2,6,4,4,8,13,8,9,4,4,12,Lobby 1,Semifinals,Split_1
5.0,UltiMaTuM,46,18,0,4,0,6,4,9,0,5,10,1,6,Lobby 1,Semifinals,Split_1
6.0,GUG,41,3,5,17,2,5,0,15,0,4,1,2,7,Lobby 1,Semifinals,Split_1
7.0,TBG,40,6,6,2,6,11,0,11,2,10,3,3,0,Lobby 1,Semifinals,Split_1
8.0,FourG Team,37,1,6,18,0,8,6,6,3,12,0,12,3,Lobby 1,Semifinals,Split_1
9.0,Mafia Legends,36,5,2,11,0,10,5,1,7,11,0,14,1,Lobby 1,Semifinals,Split_1
