Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round
1.0,AK47,108,1,13,4,11,1,15,10,4,1,9,3,6,Lobby 1,Semifinals
2.0,GOAT,73,2,10,2,0,3,0,1,9,2,4,5,0,Lobby 1,Semifinals
3.0,MAUA,56,4,3,1,5,10,0,4,11,3,4,8,0,Lobby 1,Semifinals
4.0,SP,51,13,0,9,6,2,2,7,0,11,0,1,15,Lobby 1,Semifinals
5.0,WTN,46,6,1,5,5,11,3,9,0,9,8,2,8,Lobby 1,Semifinals
6.0,Mystical,40,3,1,11,0,7,6,2,3,8,0,7,5,Lobby 1,Semifinals
7.0,Corte Verde,29,5,0,3,4,6,2,5,3,12,0,12,0,Lobby 1,Semifinals
8.0,CLB,24,10,0,10,0,12,0,3,3,5,2,6,0,Lobby 1,Semifinals
9.0,Barderos,21,11,3,8,0,4,3,8,0,7,0,10,0,Lobby 1,Semifinals
10.0,QUAS,19,12,1,12,0,9,2,12,0,4,0,4,1,Lobby 1,Semifinals
11.0,NICA,18,8,0,7,0,5,0,6,0,6,1,9,0,Lobby 1,Semifinals
12.0,2k ping,14,9,2,6,0,8,0,11,0,10,1,11,0,Lobby 1,Semifinals
13.0,SunRise,3,7,0,20,0,0,0,0,0,0,0,0,0,Lobby 1,Semifinals
1.0,eGIRLS,126,7,2,1,10,2,13,2,10,1,14,1,20,Lobby 2,Semifinals
2.0,Vatos Locos,62,4,5,4,8,3,8,6,6,2,3,12,2,Lobby 2,Semifinals
3.0,TVA,56,9,0,3,1,1,5,1,6,3,3,11,0,Lobby 2,Semifinals
4.0,AIMC,47,3,5,5,1,4,8,11,0,9,0,2,5,Lobby 2,Semifinals
5.0,Tharsis,47,1,10,7,0,5,2,8,1,7,3,4,2,Lobby 2,Semifinals
6.0,PVP,41,2,8,8,2,9,0,7,2,5,4,6,2,Lobby 2,Semifinals
7.0,Os Minhauu,32,11,0,2,5,12,0,3,3,11,0,5,1,Lobby 2,Semifinals
8.0,OSO,28,5,1,11,3,11,0,4,4,6,3,9,1,Lobby 2,Semifinals
9.0,ITS TEAM,19,10,1,13,0,13,0,5,3,4,0,8,0,Lobby 2,Semifinals
10.0,HARD,16,13,0,12,2,7,2,10,0,10,1,10,0,Lobby 2,Semifinals
11.0,TTG,16,12,0,10,0,10,0,12,0,8,1,3,0,Lobby 2,Semifinals
12.0,SFD,14,6,1,6,3,8,0,13,0,12,0,0,0,Lobby 2,Semifinals
13.0,MALA,14,8,0,9,0,6,0,9,1,13,0,7,0,Lobby 2,Semifinals
1.0,AK47,110,2,6,1,11,1,22,4,3,1,15,9,1,Lobby 1,Finals
2.0,Vatos Locos,80,1,17,4,6,2,11,16,0,7,10,4,2,Lobby 1,Finals
3.0,SP,57,16,3,5,5,13,3,1,12,3,9,11,0,Lobby 1,Finals
4.0,eGIRLS,49,8,5,16,6,15,3,6,8,13,3,6,14,Lobby 1,Finals
5.0,WTN,49,3,7,3,7,16,0,7,9,17,0,7,6,Lobby 1,Finals
6.0,AIMC,39,11,4,18,0,14,0,5,1,12,0,1,15,Lobby 1,Finals
7.0,CLB,36,7,0,13,1,19,0,2,3,2,5,10,3,Lobby 1,Finals
8.0,Os Minhauu,31,5,2,6,2,17,0,12,0,9,0,2,8,Lobby 1,Finals
9.0,Mystical,29,10,0,2,7,8,1,10,0,8,3,13,0,Lobby 1,Finals
10.0,GOAT,25,6,1,10,2,6,0,8,7,11,0,5,0,Lobby 1,Finals
11.0,MAUA,24,17,0,20,2,7,6,3,4,16,0,12,1,Lobby 1,Finals
12.0,ITS TEAM,18,18,0,7,0,5,0,15,0,4,3,8,0,Lobby 1,Finals
13.0,OSO,17,4,7,15,0,10,0,17,0,14,0,14,0,Lobby 1,Finals
14.0,TTG,17,15,0,9,2,18,0,13,0,10,0,3,2,Lobby 1,Finals
15.0,TVA,16,12,1,11,3,3,0,9,0,18,0,15,0,Lobby 1,Finals
16.0,Tharsis,14,19,0,17,0,4,6,11,1,15,0,16,0,Lobby 1,Finals
17.0,QUAS,13,9,0,12,0,9,3,14,0,5,0,17,0,Lobby 1,Finals
18.0,Corte Verde,10,14,1,8,1,11,0,18,1,6,0,18,0,Lobby 1,Finals
19.0,Barderos,4,20,0,19,3,12,0,0,0,0,0,0,0,Lobby 1,Finals
20.0,PVP,2,13,0,14,0,20,0,0,0,0,0,0,0,Lobby 1,Finals
