Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,AK47,110,2,6,1,11,1,22,4,3,1,15,9,1,Lobby 1
2.0,Vatos Locos,80,1,17,4,6,2,11,16,0,7,10,4,2,Lobby 1
3.0,SP,57,16,3,5,5,13,3,1,12,3,9,11,0,Lobby 1
4.0,eGIRLS,49,8,5,16,6,15,3,6,8,13,3,6,14,Lobby 1
5.0,WTN,49,3,7,3,7,16,0,7,9,17,0,7,6,Lobby 1
6.0,AIMC,39,11,4,18,0,14,0,5,1,12,0,1,15,Lobby 1
7.0,CLB,36,7,0,13,1,19,0,2,3,2,5,10,3,Lobby 1
8.0,Os Minhauu,31,5,2,6,2,17,0,12,0,9,0,2,8,Lobby 1
9.0,Mystical,29,10,0,2,7,8,1,10,0,8,3,13,0,Lobby 1
10.0,GOAT,25,6,1,10,2,6,0,8,7,11,0,5,0,Lobby 1
11.0,MAUA,24,17,0,20,2,7,6,3,4,16,0,12,1,Lobby 1
12.0,ITS TEAM,18,18,0,7,0,5,0,15,0,4,3,8,0,Lobby 1
13.0,OSO,17,4,7,15,0,10,0,17,0,14,0,14,0,Lobby 1
14.0,TTG,17,15,0,9,2,18,0,13,0,10,0,3,2,Lobby 1
15.0,TVA,16,12,1,11,3,3,0,9,0,18,0,15,0,Lobby 1
16.0,Tharsis,14,19,0,17,0,4,6,11,1,15,0,16,0,Lobby 1
17.0,QUAS,13,9,0,12,0,9,3,14,0,5,0,17,0,Lobby 1
18.0,Corte Verde,10,14,1,8,1,11,0,18,1,6,0,18,0,Lobby 1
19.0,Barderos,4,20,0,19,3,12,0,0,0,0,0,0,0,Lobby 1
20.0,PVP,2,13,0,14,0,20,0,0,0,0,0,0,0,Lobby 1
