B vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,FNX,89,1,12,6,5,4,6,18,0,1,13,1,9
2.0,ODK,70,7,8,1,12,17,0,3,10,8,1,9,13
3.0,DYN,63,2,5,10,9,12,0,1,14,19,0,2,2
4.0,SUAVE,53,11,1,3,4,7,5,7,0,2,11,3,2
5.0,USB,41,13,0,9,4,1,8,4,1,3,1,20,0
6.0,1SE,37,4,1,17,0,9,6,6,5,5,2,5,5
7.0,BRZ,37,3,1,13,0,15,0,2,1,4,4,6,5
8.0,AIE,33,6,1,4,5,5,4,12,4,20,0,7,3
9.0,3KPA,28,5,6,11,3,13,3,16,0,17,3,4,2
10.0,NLNL,28,8,3,2,0,18,0,10,3,9,6,15,0
11.0,DOOD,22,15,3,18,3,11,1,8,3,6,4,11,0
12.0,3PLUS,22,14,0,12,0,3,8,13,0,14,0,16,3
13.0,BTH,21,10,3,15,0,6,4,17,2,7,1,10,0
14.0,TCS,20,19,0,20,1,20,0,5,8,10,2,14,2
15.0,GUG,20,20,0,5,7,10,0,14,5,18,0,12,0
16.0,1IQ,18,12,1,8,3,19,0,19,0,12,1,13,8
17.0,ULW,18,16,3,16,0,2,4,11,0,15,0,17,0
18.0,INS,17,9,6,7,0,16,0,20,0,13,3,18,2
19.0,PRDX,13,17,0,14,1,8,5,9,1,11,0,19,0
20.0,DS,11,18,0,19,0,14,1,15,0,16,5,8,1
