,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 12, 2022 - 12:00 BRTStorm Point Insomnia ODDIK DragonSlayer","Round 1 Round 1 March 12, 2022 - 12:00 BRTStorm Point Insomnia ODDIK DragonSlayer","Round 2 Round 2 March 12, 2022 - 12:30 BRTStorm Point 1Shoot Esports Green Umbrella Gaming Dynamics","Round 2 Round 2 March 12, 2022 - 12:30 BRTStorm Point 1Shoot Esports Green Umbrella Gaming Dynamics","Round 3 Round 3 March 12, 2022 - 13:00 BRTStorm Point Fênix Team 1iQ Alpha Intelligence Esports","Round 3 Round 3 March 12, 2022 - 13:00 BRTStorm Point Fênix Team 1iQ Alpha Intelligence Esports","Round 4 Round 4 March 12, 2022 - 13:30 BRTWorld's Edge 1Shoot Esports DragonSlayer Insomnia","Round 4 Round 4 March 12, 2022 - 13:30 BRTWorld's Edge 1Shoot Esports DragonSlayer Insomnia","Round 5 Round 5 March 12, 2022 - 14:00 BRTWorld's Edge 3PLUS Gaming NLNL Dood Esports","Round 5 Round 5 March 12, 2022 - 14:00 BRTWorld's Edge 3PLUS Gaming NLNL Dood Esports","Round 6 Round 6 March 12, 2022 - 14:30 BRTWorld's Edge Fênix Team Dood Esports BTH E-Sports","Round 6 Round 6 March 12, 2022 - 14:30 BRTWorld's Edge Fênix Team Dood Esports BTH E-Sports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,1SE,64,20,0,1,11,11,4,1,10,9,3,6,6
1,2.0,ODK,64,2,13,15,6,5,5,7,6,5,4,7,6
2,3.0,FNX,61,13,3,17,0,1,9,10,6,15,4,1,11
3,4.0,INS,51,1,11,18,0,7,6,3,5,12,0,5,2
4,5.0,DOOD,47,4,3,10,6,6,3,14,3,3,5,2,0
5,6.0,1IQ,39,5,6,16,0,2,13,19,1,8,2,15,1
6,7.0,3KPA,34,7,6,9,6,14,5,8,1,13,6,12,0
7,8.0,BTH,34,9,3,12,0,10,1,13,0,7,1,3,13
8,9.0,NLNL,34,15,3,5,4,15,0,6,5,2,4,20,0
9,10.0,DS,32,3,2,8,0,17,0,2,3,6,1,11,4
10,11.0,SUAVE,30,11,4,6,7,9,0,4,7,19,0,13,0
11,12.0,BRZ,26,6,1,14,3,19,0,9,1,4,10,17,0
12,13.0,DYN,25,14,0,3,5,8,2,11,0,18,0,10,5
13,14.0,3PLUS,24,17,0,19,0,18,0,18,0,1,9,18,3
14,15.0,GUG,24,18,0,2,3,12,3,20,0,10,3,8,1
15,16.0,AIE,21,8,1,7,1,3,4,12,0,14,0,19,1
16,17.0,PRDX,20,12,0,4,4,16,1,5,3,16,2,16,0
17,18.0,ULW,17,19,0,13,0,4,1,15,6,17,0,9,1
18,19.0,TCS,10,10,3,20,0,20,0,16,0,11,2,14,1
19,20.0,USB,9,16,0,11,1,13,0,17,0,20,0,4,1
