,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 20, 2022 - 15:00 BRTWorld's Edge Horus LeaveNoWitness Xen","Round 1 Round 1 March 20, 2022 - 15:00 BRTWorld's Edge Horus LeaveNoWitness Xen","Round 2 Round 2 March 20, 2022 - 15:30 BRTWorld's Edge Team Singularity Tekila Elevate","Round 2 Round 2 March 20, 2022 - 15:30 BRTWorld's Edge Team Singularity Tekila Elevate","Round 3 Round 3 March 20, 2022 - 16:00 BRTWorld's Edge Xen Team Singularity OnlyFlans","Round 3 Round 3 March 20, 2022 - 16:00 BRTWorld's Edge Xen Team Singularity OnlyFlans","Round 4 Round 4 March 20, 2022 - 16:30 BRTStorm Point LeaveNoWitness Sunset raven's Horus","Round 4 Round 4 March 20, 2022 - 16:30 BRTStorm Point LeaveNoWitness Sunset raven's Horus","Round 5 Round 5 March 20, 2022 - 17:00 BRTStorm Point Elevate LeaveNoWitness Plaq Tu Dum","Round 5 Round 5 March 20, 2022 - 17:00 BRTStorm Point Elevate LeaveNoWitness Plaq Tu Dum","Round 6 Round 6 March 20, 2022 - 17:30 BRTStorm Point Plaq Tu Dum Team Singularity Most Valuable","Round 6 Round 6 March 20, 2022 - 17:30 BRTStorm Point Plaq Tu Dum Team Singularity Most Valuable"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SNG,92,9,5,1,18,2,10,6,0,4,10,2,9
1,2.0,LNW,83,2,13,9,4,9,6,1,16,2,6,7,1
2,3.0,XEN,64,3,5,4,2,1,12,4,4,18,0,5,8
3,4.0,ELV,52,4,6,3,9,16,0,10,3,1,8,17,0
4,5.0,SST,47,7,6,11,0,7,4,2,13,6,2,11,2
5,6.0,PD,45,17,0,13,3,8,3,8,9,5,10,4,6
6,7.0,PTD,45,15,1,8,2,4,2,19,0,3,6,1,7
7,8.0,TK,39,5,3,2,8,5,3,5,1,16,3,19,0
8,9.0,OF,35,8,0,10,1,3,9,7,4,9,5,18,0
9,10.0,HRS,33,1,6,15,0,17,0,3,3,11,0,10,1
10,11.0,MVP,31,18,0,5,6,15,1,14,0,8,0,3,9
11,12.0,ASAIM,15,12,4,17,0,18,0,9,1,7,0,13,3
12,13.0,FSN,13,13,3,14,0,6,1,18,0,13,1,12,1
13,14.0,OMEGA,13,6,2,6,3,19,0,16,0,14,0,14,0
14,15.0,CAPI,13,19,0,12,0,10,1,12,1,10,0,6,2
15,16.0,GHT,9,10,0,18,0,13,0,15,0,19,0,9,3
16,17.0,TBG,9,11,0,19,0,12,0,13,0,12,3,8,0
17,18.0,SIG,7,14,0,16,0,14,2,11,0,15,0,14,0
18,19.0,BHT,6,16,0,7,0,11,2,17,0,17,0,16,0
19,20.0,AIM,0,0,0,0,0,0,0,0,0,0,0,0,0
