Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round,PQL
1.0,CIA,57,5,8,13,0,8,2,1,12,5.0,12.0,20.0,0.0,Lobby 1,Finals,Preseason_Qualifier_1
2.0,SLU,56,3,7,2,6,4,1,16,0,6.0,3.0,2.0,6.0,Lobby 1,Finals,Preseason_Qualifier_1
3.0,OF,49,10,4,15,2,10,2,3,11,2.0,7.0,14.0,1.0,Lobby 1,Finals,Preseason_Qualifier_1
4.0,ElemenT,45,6,3,17,0,1,9,11,1,3.0,4.0,9.0,3.0,Lobby 1,Finals,Preseason_Qualifier_1
5.0,USB,40,4,2,5,3,2,7,9,0,14.0,0.0,4.0,2.0,Lobby 1,Finals,Preseason_Qualifier_1
6.0,Coquinha gelada,39,18,0,12,1,6,8,5,7,4.0,4.0,5.0,2.0,Lobby 1,Finals,Preseason_Qualifier_1
7.0,Love Egirls,39,1,10,9,3,13,1,4,3,10.0,0.0,16.0,0.0,Lobby 1,Finals,Preseason_Qualifier_1
8.0,BTH,38,19,0,7,0,3,1,2,1,7.0,0.0,7.0,11.0,Lobby 1,Finals,Preseason_Qualifier_1
9.0,Blagueur,36,15,0,4,15,11,0,8,2,11.0,4.0,8.0,3.0,Lobby 1,Finals,Preseason_Qualifier_1
10.0,TK,35,2,11,16,0,20,0,19,1,12.0,8.0,13.0,4.0,Lobby 1,Finals,Preseason_Qualifier_1
11.0,AGCL,34,16,0,10,0,9,3,10,5,17.0,0.0,1.0,8.0,Lobby 1,Finals,Preseason_Qualifier_1
12.0,AIM,31,13,3,11,6,19,0,18,0,13.0,3.0,3.0,9.0,Lobby 1,Finals,Preseason_Qualifier_1
13.0,As Misera,30,9,0,1,7,12,1,7,2,8.0,0.0,19.0,0.0,Lobby 1,Finals,Preseason_Qualifier_1
14.0,New Age,29,11,1,3,11,15,3,17,1,18.0,0.0,12.0,3.0,Lobby 1,Finals,Preseason_Qualifier_1
15.0,Slav Animals,26,8,3,19,0,7,12,13,3,15.0,0.0,11.0,0.0,Lobby 1,Finals,Preseason_Qualifier_1
16.0,OnlyResenha,25,17,0,20,0,14,2,12,1,1.0,8.0,17.0,0.0,Lobby 1,Finals,Preseason_Qualifier_1
17.0,ZETTA,21,12,0,8,1,5,3,20,0,9.0,4.0,10.0,2.0,Lobby 1,Finals,Preseason_Qualifier_1
18.0,TCS,18,20,0,14,2,16,5,15,5,20.0,0.0,6.0,1.0,Lobby 1,Finals,Preseason_Qualifier_1
19.0,sFx,12,7,4,6,0,17,0,14,0,19.0,0.0,15.0,0.0,Lobby 1,Finals,Preseason_Qualifier_1
20.0,SP,9,14,0,18,0,18,0,6,0,16.0,2.0,18.0,3.0,Lobby 1,Finals,Preseason_Qualifier_1
1.0,Team seven,57,63,55,29,88,37,77,112,66,,,,,Lobby 1,Round_1,Preseason_Qualifier_2
2.0,KZN,51,29,33,112,1111,63,22,37,44,,,,,Lobby 1,Round_1,Preseason_Qualifier_2
3.0,BTH,42,111,0,82,11,112,66,29,1111,,,,,Lobby 1,Round_1,Preseason_Qualifier_2
4.0,BRZ,39,112,88,45,22,92,33,45,22,,,,,Lobby 1,Round_1,Preseason_Qualifier_2
5.0,GDb,26,73,22,102,33,45,55,63,33,,,,,Lobby 1,Round_1,Preseason_Qualifier_2
6.0,TRAGIIC BR,24,37,11,111,0,29,44,111,11,,,,,Lobby 1,Round_1,Preseason_Qualifier_2
7.0,SLU,18,92,0,63,22,82,11,54,44,,,,,Lobby 1,Round_1,Preseason_Qualifier_2
8.0,NOKID E-SPORTS,16,102,0,37,11,54,0,82,0,,,,,Lobby 1,Round_1,Preseason_Qualifier_2
9.0,KDT - Amber,12,45,11,73,0,111,0,92,0,,,,,Lobby 1,Round_1,Preseason_Qualifier_2
10.0,PATETEX,12,82,0,54,0,102,11,73,0,,,,,Lobby 1,Round_1,Preseason_Qualifier_2
11.0,MASE,11,54,0,92,0,73,0,102,0,,,,,Lobby 1,Round_1,Preseason_Qualifier_2
1.0,As Misera,0,0,0,0,0,0,0,0,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_2
2.0,BRATVA420Forever,0,0,0,0,0,0,0,0,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_2
3.0,DavillaCrew,0,0,0,0,0,0,0,0,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_2
4.0,LostSoulsDreamer,0,0,0,0,0,0,0,0,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_2
5.0,Morri Nem Vi,0,0,0,0,0,0,0,0,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_2
6.0,PoliShopu,0,0,0,0,0,0,0,0,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_2
7.0,PVP,0,0,0,0,0,0,0,0,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_2
8.0,Vingadores Team,0,0,0,0,0,0,0,0,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_2
9.0,BHT,0,0,0,0,0,0,0,0,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_2
10.0,AIM,0,0,0,0,0,0,0,0,0,,,,,Lobby 2,Round_1,Preseason_Qualifier_2
1.0,SST,65,29,1212,37,55,112,1010,37,33,,,,,Lobby 3,Round_1,Preseason_Qualifier_2
2.0,ElemenT,54,63,0,29,1313,29,33,112,55,,,,,Lobby 3,Round_1,Preseason_Qualifier_2
3.0,Online,42,112,44,112,44,54,0,45,11,,,,,Lobby 3,Round_1,Preseason_Qualifier_2
4.0,Love Egirls,31,102,0,102,0,37,99,63,88,,,,,Lobby 3,Round_1,Preseason_Qualifier_2
5.0,SP,26,92,44,63,0,82,22,29,44,,,,,Lobby 3,Round_1,Preseason_Qualifier_2
6.0,ZGravityEsports,23,37,33,45,0,73,33,102,0,,,,,Lobby 3,Round_1,Preseason_Qualifier_2
7.0,Seven,19,73,33,54,0,111,0,73,55,,,,,Lobby 3,Round_1,Preseason_Qualifier_2
8.0,Los perro waton,14,45,22,92,0,63,0,92,0,,,,,Lobby 3,Round_1,Preseason_Qualifier_2
9.0,Platinas Team,12,54,0,111,0,45,0,82,0,,,,,Lobby 3,Round_1,Preseason_Qualifier_2
10.0,Ainz oal gown,10,82,0,82,0,92,0,54,0,,,,,Lobby 3,Round_1,Preseason_Qualifier_2
11.0,Dynanik,7,111,0,73,0,102,0,111,0,,,,,Lobby 3,Round_1,Preseason_Qualifier_2
1.0,OMEGA,54,29,66,37,1111,92,0,112,77,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
2.0,TCS,53,63,33,112,99,112,88,73,33,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
3.0,Sobek,35,112,55,29,11,45,11,82,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
4.0,PRDX,34,45,66,54,44,54,22,37,22,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
5.0,Fluxo Team,34,37,0,63,0,37,1111,45,11,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
6.0,ICEBERGS,32,54,55,200,0,73,0,29,1111,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
7.0,LIONS,18,111,0,92,0,29,33,92,11,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
8.0,LosÁlamosGaming,14,102,0,45,0,63,0,54,0,,,,,Lobby 4,Round_1,Preseason_Qualifier_2
