Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,OG,68,5,5,8,0,3,7,7,2,1,11,2,6
2.0,C9,65,1,6,2,10,14,3,2,7,7,5,17,0
3.0,TL,53,3,8,16,1,15,0,3,7,4,5,3,5
4.0,100T,52,11,2,1,10,19,0,13,3,3,10,8,4
5.0,STK,48,7,6,15,0,8,3,1,13,11,6,14,0
6.0,LG,48,9,2,7,7,1,9,11,3,13,0,6,5
7.0,RIG,45,4,7,4,4,18,0,10,0,6,2,1,5
8.0,TSM,37,8,2,10,1,4,11,9,2,20,2,5,4
9.0,FSV,34,17,1,12,3,9,1,17,0,2,6,4,6
10.0,ALL,32,2,10,14,0,16,0,5,2,8,1,18,3
11.0,αDR,32,12,3,3,2,7,1,4,8,9,0,16,0
12.0,BRGR,25,14,0,5,6,6,2,16,0,14,0,9,6
13.0,RC,19,19,0,17,3,12,7,15,1,19,1,12,4
14.0,ELV,19,15,0,13,2,13,4,8,0,10,3,13,2
15.0,EMP,19,13,1,11,1,11,0,12,3,5,3,11,2
16.0,E6,18,16,1,18,0,5,2,18,2,18,1,7,5
17.0,NRG,17,18,1,19,0,17,7,14,2,17,2,10,2
18.0,PLRS,17,20,0,20,0,2,0,6,1,12,2,15,0
19.0,DEWA,16,6,2,9,8,20,0,19,0,16,1,19,0
20.0,UNI,11,10,1,6,0,10,0,20,0,15,2,20,0
