Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K,P,K,MP #
1.0,RIG,78,1,10,3,5,20,0,11,0,3,4,5,2,1,10,5
2.0,TL,69,7,10,5,11,16,2,17,2,2,7,4,8,19,0,5
3.0,UNI,60,3,2,13,0,2,4,4,3,6,2,1,9,7,0,6
4.0,OG,57,16,2,15,0,1,9,2,1,19,0,15,0,3,5,7
5.0,LG,54,13,0,16,1,13,0,20,0,1,13,8,0,2,10,7
6.0,TSM,52,9,0,20,0,5,1,1,11,16,0,2,5,12,4,7
7.0,NRG,52,6,10,6,3,9,5,13,0,13,4,3,10,8,1,7
8.0,EMP,51,18,0,12,3,4,9,3,11,15,3,6,5,13,2,7
9.0,GW,46,2,13,8,2,7,7,15,0,8,5,16,1,15,0,-
10.0,C9,42,11,0,7,4,6,5,19,0,12,3,18,3,5,6,-
11.0,100T,40,5,0,14,1,19,0,7,6,5,5,10,0,4,2,-
12.0,GMT,38,10,0,2,7,17,0,6,5,14,0,9,4,16,5,-
13.0,αDR,36,20,0,4,10,8,1,12,2,9,2,7,3,11,4,-
14.0,ELV,35,17,1,1,7,18,1,10,5,10,3,17,0,14,1,-
15.0,BRGR,35,8,3,11,4,3,7,9,1,20,0,11,5,9,0,-
16.0,ALL,29,4,3,9,0,15,4,14,3,7,2,19,0,10,2,-
17.0,STK,24,19,1,19,0,12,0,18,0,4,3,13,0,6,4,-
18.0,SSG,19,15,0,17,2,14,0,5,5,11,1,12,3,18,0,-
19.0,FSV,12,14,1,10,0,10,1,8,0,18,1,20,0,20,0,-
20.0,V3,7,12,1,18,0,11,3,16,0,17,0,14,0,17,0,-
