B vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,OG,72,1,18,15,1,17,0,1,16,3,3,9,0
2.0,TL,66,18,3,2,5,5,6,16,3,2,20,10,5
3.0,FSV,60,12,4,4,7,1,14,3,6,12,0,15,2
4.0,LG,59,2,9,19,0,10,3,7,6,9,3,1,10
5.0,G2,59,4,6,1,11,6,4,15,0,15,3,2,4
6.0,BRGR,47,9,1,18,0,19,0,2,6,1,10,4,2
7.0,SSG,40,10,1,5,0,4,5,12,0,4,3,3,7
8.0,TTM,32,3,1,7,1,3,5,10,1,8,3,19,0
9.0,RIG,31,16,0,17,0,11,4,4,6,14,3,5,7
10.0,CR,23,6,0,12,3,2,3,14,2,11,0,16,0
11.0,GW,22,14,0,6,8,20,0,8,1,6,1,14,2
12.0,K1CK,22,15,0,10,5,12,0,5,2,5,3,17,0
13.0,UNI,22,5,4,9,0,16,0,6,1,7,0,6,2
14.0,ACE,21,17,1,11,4,13,0,11,2,19,0,7,8
15.0,FNX,20,20,0,3,4,7,3,18,0,10,0,18,1
16.0,FCD,17,19,0,13,1,14,3,17,3,17,3,12,4
17.0,IG,15,7,3,14,2,8,0,13,0,20,0,13,2
18.0,SNG,15,8,5,8,1,18,0,9,0,13,0,11,1
19.0,GMT,11,11,0,20,0,9,6,19,0,16,0,8,0
20.0,CLG,4,13,0,16,2,15,0,20,0,18,0,20,0
