B vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,ALL,92,2,11,4,16,3,6,2,7,3,5,4,5
2.0,OG,62,9,5,13,4,19,0,6,5,2,9,1,12
3.0,BRGR,52,1,4,6,0,13,1,7,8,9,3,2,6
4.0,NRG,47,15,1,9,1,7,5,5,6,1,9,9,1
5.0,C9,42,5,5,3,7,14,1,11,4,20,0,3,5
6.0,TL,39,3,4,12,0,12,2,4,3,4,7,5,0
7.0,PLRS,38,16,3,19,0,1,11,17,3,14,3,18,5
8.0,αDR,34,17,0,14,0,9,5,8,6,7,2,7,10
9.0,CR,34,20,0,20,0,2,7,3,9,10,0,19,0
10.0,RNT,30,18,0,18,0,16,3,1,6,6,3,8,1
11.0,DEWA,30,14,0,1,7,4,1,12,2,11,0,17,0
12.0,LG,29,10,2,2,8,17,0,15,0,15,3,6,0
13.0,ACE,28,8,1,5,7,6,8,9,1,17,0,20,0
14.0,FNX,24,4,8,17,3,20,0,10,0,18,0,10,4
15.0,GMT,22,7,7,15,1,8,0,13,0,12,3,16,3
16.0,FSV,19,11,6,7,2,18,1,14,1,16,3,15,0
17.0,ODK,18,6,0,10,0,5,3,19,0,5,1,13,0
18.0,FCD,13,12,0,16,0,10,1,20,0,13,5,12,2
19.0,V3,11,19,0,8,4,15,0,18,0,8,1,14,0
20.0,DTN,9,13,0,11,0,11,4,16,0,19,0,11,1
