,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 29, 2022 - 10:15 CESTStorm Point K1CK Team UNITE Alliance","Round 1 Round 1 April 29, 2022 - 10:15 CESTStorm Point K1CK Team UNITE Alliance","Round 2 Round 2 April 29, 2022 - 10:50 CESTStorm Point αDRaccoon Reignite Totem Esports","Round 2 Round 2 April 29, 2022 - 10:50 CESTStorm Point αDRaccoon Reignite Totem Esports","Round 3 Round 3 April 29, 2022 - 11:25 CESTStorm Point Alliance NRG V3 VEGA","Round 3 Round 3 April 29, 2022 - 11:25 CESTStorm Point Alliance NRG V3 VEGA","Round 4 Round 4 April 29, 2022 - 12:00 CESTWorld's Edge Cloud9 GameWith αDRaccoon","Round 4 Round 4 April 29, 2022 - 12:00 CESTWorld's Edge Cloud9 GameWith αDRaccoon","Round 5 Round 5 April 29, 2022 - 12:45 CESTWorld's Edge Alliance K1CK Team UNITE","Round 5 Round 5 April 29, 2022 - 12:45 CESTWorld's Edge Alliance K1CK Team UNITE","Round 6 Round 6 April 29, 2022 - 13:20 CESTWorld's Edge αDRaccoon Revenant Esports Cloud9","Round 6 Round 6 April 29, 2022 - 13:20 CESTWorld's Edge αDRaccoon Revenant Esports Cloud9"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,αDR,79,6,5,1,8,14,4,3,13,17,0,1,14
1,2.0,ALL,73,3,7,15,0,1,12,17,1,1,19,19,2
2,3.0,C9,60,4,1,6,6,4,5,1,13,16,1,3,2
3,4.0,K1CK,58,1,8,5,2,12,1,15,5,2,1,4,9
4,5.0,RIG,42,16,2,2,15,13,0,9,0,5,6,17,3
5,6.0,UNI,41,2,4,20,0,11,2,5,6,3,6,10,0
6,7.0,NRG,35,13,3,8,3,2,5,4,2,18,0,14,4
7,8.0,GW,34,11,1,11,5,16,4,2,5,4,3,16,0
8,9.0,PLRS,30,10,5,9,7,20,0,8,5,19,0,7,4
9,10.0,RNT,27,20,0,4,0,8,1,14,0,11,5,2,3
10,11.0,SSG,25,17,0,13,0,9,7,6,0,10,2,6,5
11,12.0,ODK,25,8,2,17,1,5,5,7,1,13,2,5,0
12,13.0,V3,24,14,0,16,0,3,5,10,5,14,2,13,0
13,14.0,DEWA,20,15,1,18,0,7,2,16,0,7,6,15,3
14,15.0,CLG,19,7,5,10,4,19,2,13,1,12,0,18,0
15,16.0,TTM,18,19,0,3,2,10,1,12,1,15,0,8,1
16,17.0,DTN,17,18,3,12,1,6,1,20,0,8,2,12,3
17,18.0,IG,14,9,3,19,0,15,1,19,0,9,2,11,2
18,19.0,G2,14,5,7,14,0,18,0,11,1,20,0,20,0
19,20.0,SNG,13,12,0,7,2,17,0,18,0,6,1,9,1
