,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 29, 2022 - 19:45 CESTStorm Point TSM Team UNITE Reignite","Round 1 Round 1 April 29, 2022 - 19:45 CESTStorm Point TSM Team UNITE Reignite","Round 2 Round 2 April 29, 2022 - 20:20 CESTStorm Point Counter Logic Gaming Team Empire GameWith","Round 2 Round 2 April 29, 2022 - 20:20 CESTStorm Point Counter Logic Gaming Team Empire GameWith","Round 3 Round 3 April 29, 2022 - 20:55 CESTStorm Point Team Empire Counter Logic Gaming Spacestation Gaming","Round 3 Round 3 April 29, 2022 - 20:55 CESTStorm Point Team Empire Counter Logic Gaming Spacestation Gaming","Round 4 Round 4 April 29, 2022 - 21:30 CESTWorld's Edge Sutoraiku GameWith TSM","Round 4 Round 4 April 29, 2022 - 21:30 CESTWorld's Edge Sutoraiku GameWith TSM","Round 5 Round 5 April 29, 2022 - 22:05 CESTWorld's Edge Sutoraiku Team UNITE Reignite","Round 5 Round 5 April 29, 2022 - 22:05 CESTWorld's Edge Sutoraiku Team UNITE Reignite","Round 6 Round 6 April 29, 2022 - 22:40 CESTWorld's Edge Totem Esports SCARZ Sutoraiku","Round 6 Round 6 April 29, 2022 - 22:40 CESTWorld's Edge Totem Esports SCARZ Sutoraiku"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,STK,65,12,2,14,0,6,4,1,11,1,6,3,6
1,2.0,EMP,59,7,1,2,3,1,13,20,0,11,9,8,6
2,3.0,CLG,52,9,1,1,13,2,6,5,4,14,0,19,0
3,4.0,UNI,47,2,7,8,0,4,3,14,3,2,5,7,0
4,5.0,GW,43,6,2,3,7,12,2,2,5,12,3,16,3
5,6.0,TSM,42,1,5,10,1,19,0,3,3,4,7,18,0
6,7.0,RIG,40,3,6,12,1,7,3,15,0,3,6,12,4
7,8.0,ELV,35,4,9,7,4,15,3,19,0,15,0,4,4
8,9.0,FL,33,8,8,11,3,14,2,9,7,6,0,15,3
9,10.0,RC,30,5,7,16,0,11,2,6,3,9,1,6,4
10,11.0,100T,29,10,1,6,5,13,0,4,3,8,5,14,1
11,12.0,SSG,29,18,0,19,0,3,3,8,4,5,3,10,4
12,13.0,SZ,29,13,0,4,3,10,0,16,0,13,1,2,7
13,14.0,TTM,27,15,0,17,0,20,0,12,2,10,1,1,8
14,15.0,G2,22,14,3,9,1,5,6,11,4,18,0,17,0
15,16.0,K1CK,18,17,0,5,5,17,0,10,0,17,0,5,3
16,17.0,IG,17,16,3,18,0,8,4,13,3,16,3,13,0
17,18.0,E6,13,19,0,20,0,18,3,17,0,7,5,9,0
18,19.0,XEN,11,11,0,13,2,9,2,7,0,19,0,20,0
19,20.0,SNG,9,20,0,15,6,16,0,18,0,20,0,11,1
