Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Stage
1.0,OG,68,5,5,8,0,3,7,7,2,1,11,2,6,Round 1
2.0,C9,65,1,6,2,10,14,3,2,7,7,5,17,0,Round 1
3.0,TL,53,3,8,16,1,15,0,3,7,4,5,3,5,Round 1
4.0,100T,52,11,2,1,10,19,0,13,3,3,10,8,4,Round 1
5.0,STK,48,7,6,15,0,8,3,1,13,11,6,14,0,Round 1
6.0,LG,48,9,2,7,7,1,9,11,3,13,0,6,5,Round 1
7.0,RIG,45,4,7,4,4,18,0,10,0,6,2,1,5,Round 1
8.0,TSM,37,8,2,10,1,4,11,9,2,20,2,5,4,Round 1
9.0,FSV,34,17,1,12,3,9,1,17,0,2,6,4,6,Round 1
10.0,ALL,32,2,10,14,0,16,0,5,2,8,1,18,3,Round 1
11.0,αDR,32,12,3,3,2,7,1,4,8,9,0,16,0,Round 1
12.0,BRGR,25,14,0,5,6,6,2,16,0,14,0,9,6,Round 1
13.0,RC,19,19,0,17,3,12,7,15,1,19,1,12,4,Round 1
14.0,ELV,19,15,0,13,2,13,4,8,0,10,3,13,2,Round 1
15.0,EMP,19,13,1,11,1,11,0,12,3,5,3,11,2,Round 1
16.0,E6,18,16,1,18,0,5,2,18,2,18,1,7,5,Round 1
17.0,NRG,17,18,1,19,0,17,7,14,2,17,2,10,2,Round 1
18.0,PLRS,17,20,0,20,0,2,0,6,1,12,2,15,0,Round 1
19.0,DEWA,16,6,2,9,8,20,0,19,0,16,1,19,0,Round 1
20.0,UNI,11,10,1,6,0,10,0,20,0,15,2,20,0,Round 1
1.0,GMT,72,1,14,6,2,10,2,8,6,2,4,2,7,Round 3
2.0,SSG,61,5,3,1,12,14,0,11,2,1,9,9,3,Round 3
3.0,ODK,51,8,6,2,8,12,9,2,3,14,0,6,0,Round 3
4.0,K1CK,46,13,0,5,0,18,0,1,19,19,3,8,5,Round 3
5.0,CLG,38,9,4,8,2,1,9,17,0,13,6,18,0,Round 3
6.0,TTM,38,20,0,19,1,15,0,6,1,5,8,1,8,Round 3
7.0,FCD,34,10,1,12,2,2,10,16,3,18,0,12,5,Round 3
8.0,FL,34,6,7,14,2,8,3,20,0,20,0,3,9,Round 3
9.0,V3,34,19,0,3,5,4,1,5,1,3,2,10,0,Round 3
10.0,GW,33,2,6,11,1,19,0,3,2,6,0,5,0,Round 3
11.0,IG,32,12,0,9,3,5,3,4,7,8,2,11,2,Round 3
12.0,CR,31,3,6,16,0,16,2,10,1,7,1,4,4,Round 3
13.0,RNT,31,4,4,15,6,6,6,15,0,9,3,20,0,Round 3
14.0,XEN,24,15,0,7,1,17,1,7,4,4,6,17,0,Round 3
15.0,G2,22,16,2,13,0,3,5,9,3,11,1,16,0,Round 3
16.0,FNX,22,18,0,10,3,20,0,19,0,10,5,7,7,Round 3
17.0,ACE,19,14,3,4,3,13,0,14,0,15,1,14,2,Round 3
18.0,DTN,16,11,1,18,4,11,2,12,2,12,2,15,0,Round 3
19.0,SNG,13,7,2,20,0,7,1,18,0,17,0,13,3,Round 3
20.0,SZ,3,17,0,17,0,9,0,13,0,16,0,19,0,Round 3
1.0,UNI,60,4,8,9,2,18,0,2,7,1,13,12,1,Round 5
2.0,GMT,59,5,7,13,0,1,9,13,1,3,8,4,4,Round 5
3.0,SSG,56,1,9,4,6,20,0,9,2,13,1,2,9,Round 5
4.0,BRGR,47,6,3,2,6,9,2,12,2,2,10,20,0,Round 5
5.0,V3,46,11,5,17,1,6,5,1,15,10,2,17,0,Round 5
6.0,NRG,45,15,0,8,3,2,13,17,0,9,4,7,8,Round 5
7.0,EMP,39,16,0,1,11,14,0,19,0,12,0,9,12,Round 5
8.0,αDR,38,14,0,5,3,4,4,3,5,8,7,18,0,Round 5
9.0,ELV,34,18,1,19,0,7,1,4,1,18,0,1,11,Round 5
10.0,GW,32,2,6,6,8,19,0,15,0,15,0,13,3,Round 5
11.0,FL,29,13,2,14,0,3,7,10,1,19,1,3,0,Round 5
12.0,K1CK,29,19,0,15,2,13,4,7,5,4,5,15,2,Round 5
13.0,PLRS,27,8,1,3,7,11,0,16,4,6,0,11,1,Round 5
14.0,RC,22,3,4,20,0,16,1,8,5,14,1,14,0,Round 5
15.0,E6,22,7,2,10,1,10,3,6,1,16,0,5,1,Round 5
16.0,FCD,21,9,7,18,0,17,0,14,4,17,0,6,4,Round 5
17.0,CLG,20,17,0,7,3,12,0,5,4,11,0,8,2,Round 5
18.0,DEWA,19,10,1,12,4,5,6,20,0,20,0,19,1,Round 5
19.0,TTM,19,20,0,11,0,8,1,11,1,7,6,10,2,Round 5
20.0,ODK,12,12,0,16,4,15,0,18,1,5,1,16,0,Round 5
