A vs B StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Stage,C vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
1.0,TL,63,3,3,1,17,2,4,12,0,15,0,6,6,Round 1,,,,,
2.0,EMP,59,1,12,11,1,1,12,17,1,11,4,10,1,Round 1,,,,,
3.0,RC,59,2,8,9,0,11,0,14,4,3,10,2,8,Round 1,,,,,
4.0,FSV,55,7,6,2,11,18,2,10,0,1,9,16,1,Round 1,,,,,
5.0,OG,52,19,2,10,6,5,3,5,4,2,6,4,7,Round 1,,,,,
6.0,100T,49,5,3,3,5,12,1,3,8,5,4,8,3,Round 1,,,,,
7.0,E6,44,8,0,18,0,6,14,2,9,4,1,17,1,Round 1,,,,,
8.0,CR,37,17,3,14,1,10,0,1,8,9,3,11,4,Round 1,,,,,
9.0,TSM,36,4,10,7,6,9,6,9,0,10,0,18,0,Round 1,,,,,
10.0,STK,33,14,0,5,3,4,2,4,7,17,3,7,0,Round 1,,,,,
11.0,ELV,30,12,1,4,3,7,3,13,3,6,7,19,0,Round 1,,,,,
12.0,GMT,26,9,0,20,0,20,0,8,1,14,0,1,8,Round 1,,,,,
13.0,BRGR,26,13,0,19,0,3,3,11,0,8,3,3,2,Round 1,,,,,
14.0,FL,24,10,3,12,3,14,5,20,0,12,0,15,7,Round 1,,,,,
15.0,LG,20,11,3,13,0,8,4,18,3,7,3,20,0,Round 1,,,,,
16.0,FNX,15,15,0,8,0,13,0,19,0,19,1,5,6,Round 1,,,,,
17.0,FCD,13,6,2,15,0,16,1,7,2,16,0,14,0,Round 1,,,,,
18.0,ACE,10,16,0,17,0,19,0,15,6,13,1,13,0,Round 1,,,,,
19.0,SZ,10,20,0,16,0,15,0,6,1,18,1,9,2,Round 1,,,,,
20.0,XEN,5,18,0,6,0,17,0,16,0,20,0,12,1,Round 1,,,,,
,αDR,79,6,5,1,8,14,4,3,13,17,0,1,14,Round 2,1.0,,,,
,ALL,73,3,7,15,0,1,12,17,1,1,19,19,2,Round 2,2.0,,,,
,C9,60,4,1,6,6,4,5,1,13,16,1,3,2,Round 2,3.0,,,,
,K1CK,58,1,8,5,2,12,1,15,5,2,1,4,9,Round 2,4.0,,,,
,RIG,42,16,2,2,15,13,0,9,0,5,6,17,3,Round 2,5.0,,,,
,UNI,41,2,4,20,0,11,2,5,6,3,6,10,0,Round 2,6.0,,,,
,NRG,35,13,3,8,3,2,5,4,2,18,0,14,4,Round 2,7.0,,,,
,GW,34,11,1,11,5,16,4,2,5,4,3,16,0,Round 2,8.0,,,,
,PLRS,30,10,5,9,7,20,0,8,5,19,0,7,4,Round 2,9.0,,,,
,RNT,27,20,0,4,0,8,1,14,0,11,5,2,3,Round 2,10.0,,,,
,SSG,25,17,0,13,0,9,7,6,0,10,2,6,5,Round 2,11.0,,,,
,ODK,25,8,2,17,1,5,5,7,1,13,2,5,0,Round 2,12.0,,,,
,V3,24,14,0,16,0,3,5,10,5,14,2,13,0,Round 2,13.0,,,,
,DEWA,20,15,1,18,0,7,2,16,0,7,6,15,3,Round 2,14.0,,,,
,CLG,19,7,5,10,4,19,2,13,1,12,0,18,0,Round 2,15.0,,,,
,TTM,18,19,0,3,2,10,1,12,1,15,0,8,1,Round 2,16.0,,,,
,DTN,17,18,3,12,1,6,1,20,0,8,2,12,3,Round 2,17.0,,,,
,IG,14,9,3,19,0,15,1,19,0,9,2,11,2,Round 2,18.0,,,,
,G2,14,5,7,14,0,18,0,11,1,20,0,20,0,Round 2,19.0,,,,
,SNG,13,12,0,7,2,17,0,18,0,6,1,9,1,Round 2,20.0,,,,
,DEWA,64,6,4,5,3,6,4,1,11,13,3,3,9,Round 3,,1.0,,,
,E6,62,7,3,3,3,2,8,6,2,3,6,5,7,Round 3,,2.0,,,
,DTN,56,10,4,7,3,5,10,9,0,5,7,1,5,Round 3,,3.0,,,
,100T,54,9,0,2,4,9,5,4,8,8,0,2,8,Round 3,,4.0,,,
,PLRS,40,18,0,1,12,12,0,5,8,16,0,11,2,Round 3,,5.0,,,
,ALL,40,2,2,13,2,19,0,2,14,20,0,8,1,Round 3,,6.0,,,
,ELV,39,5,7,14,7,7,5,10,1,10,3,6,1,Round 3,,7.0,,,
,ODK,36,19,0,15,0,1,11,3,3,19,0,13,1,Round 3,,8.0,,,
,EMP,28,16,3,9,2,16,0,14,4,18,3,9,11,Round 3,,9.0,,,
,C9,28,17,0,19,0,3,8,11,3,14,6,17,2,Round 3,,10.0,,,
,TSM,28,11,2,18,6,17,1,7,0,12,0,4,9,Round 3,,11.0,,,
,FL,27,3,8,10,3,10,0,15,0,11,2,12,0,Round 3,,12.0,,,
,STK,26,12,0,6,2,14,0,17,0,1,7,18,0,Round 3,,13.0,,,
,RNT,25,4,13,17,1,8,2,16,1,15,0,20,0,Round 3,,14.0,,,
,NRG,25,15,3,11,0,20,1,13,0,2,8,15,0,Round 3,,15.0,,,
,V3,25,8,0,4,7,4,2,19,0,9,0,14,1,Round 3,,16.0,,,
,XEN,21,1,7,12,0,13,0,20,0,17,0,16,0,Round 3,,17.0,,,
,SZ,20,14,0,8,1,11,1,8,2,6,3,10,2,Round 3,,18.0,,,
,RC,15,13,1,20,1,18,1,12,0,4,4,19,1,Round 3,,19.0,,,
,αDR,14,20,0,16,1,15,1,18,0,7,5,7,0,Round 3,,20.0,,,
,OG,72,1,18,15,1,17,0,1,16,3,3,9,0,Round 4,,,1.0,,
,TL,66,18,3,2,5,5,6,16,3,2,20,10,5,Round 4,,,2.0,,
,FSV,60,12,4,4,7,1,14,3,6,12,0,15,2,Round 4,,,3.0,,
,LG,59,2,9,19,0,10,3,7,6,9,3,1,10,Round 4,,,4.0,,
,G2,59,4,6,1,11,6,4,15,0,15,3,2,4,Round 4,,,5.0,,
,BRGR,47,9,1,18,0,19,0,2,6,1,10,4,2,Round 4,,,6.0,,
,SSG,40,10,1,5,0,4,5,12,0,4,3,3,7,Round 4,,,7.0,,
,TTM,32,3,1,7,1,3,5,10,1,8,3,19,0,Round 4,,,8.0,,
,RIG,31,16,0,17,0,11,4,4,6,14,3,5,7,Round 4,,,9.0,,
,CR,23,6,0,12,3,2,3,14,2,11,0,16,0,Round 4,,,10.0,,
,GW,22,14,0,6,8,20,0,8,1,6,1,14,2,Round 4,,,11.0,,
,K1CK,22,15,0,10,5,12,0,5,2,5,3,17,0,Round 4,,,12.0,,
,UNI,22,5,4,9,0,16,0,6,1,7,0,6,2,Round 4,,,13.0,,
,ACE,21,17,1,11,4,13,0,11,2,19,0,7,8,Round 4,,,14.0,,
,FNX,20,20,0,3,4,7,3,18,0,10,0,18,1,Round 4,,,15.0,,
,FCD,17,19,0,13,1,14,3,17,3,17,3,12,4,Round 4,,,16.0,,
,IG,15,7,3,14,2,8,0,13,0,20,0,13,2,Round 4,,,17.0,,
,SNG,15,8,5,8,1,18,0,9,0,13,0,11,1,Round 4,,,18.0,,
,GMT,11,11,0,20,0,9,6,19,0,16,0,8,0,Round 4,,,19.0,,
,CLG,4,13,0,16,2,15,0,20,0,18,0,20,0,Round 4,,,20.0,,
,STK,65,12,2,14,0,6,4,1,11,1,6,3,6,Round 5,,,,1.0,
,EMP,59,7,1,2,3,1,13,20,0,11,9,8,6,Round 5,,,,2.0,
,CLG,52,9,1,1,13,2,6,5,4,14,0,19,0,Round 5,,,,3.0,
,UNI,47,2,7,8,0,4,3,14,3,2,5,7,0,Round 5,,,,4.0,
,GW,43,6,2,3,7,12,2,2,5,12,3,16,3,Round 5,,,,5.0,
,TSM,42,1,5,10,1,19,0,3,3,4,7,18,0,Round 5,,,,6.0,
,RIG,40,3,6,12,1,7,3,15,0,3,6,12,4,Round 5,,,,7.0,
,ELV,35,4,9,7,4,15,3,19,0,15,0,4,4,Round 5,,,,8.0,
,FL,33,8,8,11,3,14,2,9,7,6,0,15,3,Round 5,,,,9.0,
,RC,30,5,7,16,0,11,2,6,3,9,1,6,4,Round 5,,,,10.0,
,100T,29,10,1,6,5,13,0,4,3,8,5,14,1,Round 5,,,,11.0,
,SSG,29,18,0,19,0,3,3,8,4,5,3,10,4,Round 5,,,,12.0,
,SZ,29,13,0,4,3,10,0,16,0,13,1,2,7,Round 5,,,,13.0,
,TTM,27,15,0,17,0,20,0,12,2,10,1,1,8,Round 5,,,,14.0,
,G2,22,14,3,9,1,5,6,11,4,18,0,17,0,Round 5,,,,15.0,
,K1CK,18,17,0,5,5,17,0,10,0,17,0,5,3,Round 5,,,,16.0,
,IG,17,16,3,18,0,8,4,13,3,16,3,13,0,Round 5,,,,17.0,
,E6,13,19,0,20,0,18,3,17,0,7,5,9,0,Round 5,,,,18.0,
,XEN,11,11,0,13,2,9,2,7,0,19,0,20,0,Round 5,,,,19.0,
,SNG,9,20,0,15,6,16,0,18,0,20,0,11,1,Round 5,,,,20.0,
,ALL,92,2,11,4,16,3,6,2,7,3,5,4,5,Round 6,,,,,1.0
,OG,62,9,5,13,4,19,0,6,5,2,9,1,12,Round 6,,,,,2.0
,BRGR,52,1,4,6,0,13,1,7,8,9,3,2,6,Round 6,,,,,3.0
,NRG,47,15,1,9,1,7,5,5,6,1,9,9,1,Round 6,,,,,4.0
,C9,42,5,5,3,7,14,1,11,4,20,0,3,5,Round 6,,,,,5.0
,TL,39,3,4,12,0,12,2,4,3,4,7,5,0,Round 6,,,,,6.0
,PLRS,38,16,3,19,0,1,11,17,3,14,3,18,5,Round 6,,,,,7.0
,αDR,34,17,0,14,0,9,5,8,6,7,2,7,10,Round 6,,,,,8.0
,CR,34,20,0,20,0,2,7,3,9,10,0,19,0,Round 6,,,,,9.0
,RNT,30,18,0,18,0,16,3,1,6,6,3,8,1,Round 6,,,,,10.0
,DEWA,30,14,0,1,7,4,1,12,2,11,0,17,0,Round 6,,,,,11.0
,LG,29,10,2,2,8,17,0,15,0,15,3,6,0,Round 6,,,,,12.0
,ACE,28,8,1,5,7,6,8,9,1,17,0,20,0,Round 6,,,,,13.0
,FNX,24,4,8,17,3,20,0,10,0,18,0,10,4,Round 6,,,,,14.0
,GMT,22,7,7,15,1,8,0,13,0,12,3,16,3,Round 6,,,,,15.0
,FSV,19,11,6,7,2,18,1,14,1,16,3,15,0,Round 6,,,,,16.0
,ODK,18,6,0,10,0,5,3,19,0,5,1,13,0,Round 6,,,,,17.0
,FCD,13,12,0,16,0,10,1,20,0,13,5,12,2,Round 6,,,,,18.0
,V3,11,19,0,8,4,15,0,18,0,8,1,14,0,Round 6,,,,,19.0
,DTN,9,13,0,11,0,11,4,16,0,19,0,11,1,Round 6,,,,,20.0
